request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_211,589.53,affordable_later,wait,none,2024-10-15,none,"Wait until 2024-10-15, when the full EUR 1788.60 is forecast safe without reducing protected spending."
request_212,5134213.14,not_affordable,not_recommended,none,,none,The full IDR 71934000 cannot be completed safely within the deadline while maintaining IDR 29579800.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use 3 installments totaling USD 3496.89; the 90-day forecast maintains the minimum balance.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Use 2 installments totaling INR 72540; the 90-day forecast maintains the minimum balance.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use 3 installments totaling ZAR 31185.45; the 90-day forecast maintains the minimum balance.
request_216,722.52,affordable_later,wait,none,2026-09-15,none,"Wait until 2026-09-15, when the full USD 3332.40 is forecast safe without reducing protected spending."
request_217,23403.48,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,Use 3 installments totaling ZAR 38667.21; the 90-day forecast maintains the minimum balance.
request_218,27641181.80,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use 3 installments totaling IDR 63587679.99; the 90-day forecast maintains the minimum balance.
request_219,0,not_affordable,not_recommended,none,,none,The full EUR 1673.10 cannot be completed safely within the deadline while maintaining EUR 1100.
request_220,190.38,not_affordable,not_recommended,none,,none,The full EUR 3118.50 cannot be completed safely within the deadline while maintaining EUR 1100.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today while maintaining the minimum balance of INR 81500.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today while maintaining the minimum balance of ZAR 27300.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today while maintaining the minimum balance of EUR 800.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use 2 installments totaling IDR 10740080; the 90-day forecast maintains the minimum balance.
request_225,9792913.55,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,Use 3 installments totaling IDR 22941360; the 90-day forecast maintains the minimum balance.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today while maintaining the minimum balance of INR 209400.
request_227,12846.70,not_affordable,not_recommended,none,,none,The full INR 259700 cannot be completed safely within the deadline while maintaining INR 62900.
request_228,0,not_affordable,not_recommended,none,,none,The full IDR 63327000 cannot be completed safely within the deadline while maintaining IDR 26191200.
request_229,526.97,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,Use 3 installments totaling EUR 1587.87; the 90-day forecast maintains the minimum balance.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today while maintaining the minimum balance of EUR 2000.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Use 3 installments totaling ZAR 37134.24; the 90-day forecast maintains the minimum balance.
request_232,0,not_affordable,not_recommended,none,,none,The full EUR 1970.10 cannot be completed safely within the deadline while maintaining EUR 2400.
request_233,0,not_affordable,not_recommended,none,,none,The full IDR 6241000 cannot be completed safely within the deadline while maintaining IDR 10365700.
request_234,341.35,affordable_later,wait,none,2026-08-15,none,"Wait until 2026-08-15, when the full EUR 1213.30 is forecast safe without reducing protected spending."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today while maintaining the minimum balance of USD 700.
request_236,7356497.56,not_affordable,not_recommended,none,2025-04-15,none,The full IDR 52383000 cannot be completed safely within the deadline while maintaining IDR 16768600.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today while maintaining the minimum balance of IDR 22431500.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 installments totaling USD 690.15; the 90-day forecast maintains the minimum balance.
request_239,0,not_affordable,not_recommended,none,,none,The full USD 642 cannot be completed safely within the deadline while maintaining USD 600.
request_240,0,not_affordable,not_recommended,none,,none,The full INR 101200 cannot be completed safely within the deadline while maintaining INR 52800.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 installments totaling IDR 21894080.01; the 90-day forecast maintains the minimum balance.
request_242,0,not_affordable,not_recommended,none,,none,The full EUR 1966.80 cannot be completed safely within the deadline while maintaining EUR 600.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today while maintaining the minimum balance of ZAR 19900.
request_244,11476.56,not_affordable,not_recommended,none,,none,The full ZAR 49918 cannot be completed safely within the deadline while maintaining ZAR 45900.
request_245,35883.07,affordable_later,wait,none,2025-12-15,none,"Wait until 2025-12-15, when the full INR 128500 is forecast safe without reducing protected spending."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 installments totaling ZAR 66649.44; the 90-day forecast maintains the minimum balance.
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today while maintaining the minimum balance of EUR 1300.
request_248,1025.93,affordable_with_plan,partial_payment,2025-02-07:1025.93|2025-04-15:939.67,2025-04-15,none,Pay USD 1025.93 today and the remaining USD 939.67 on 2025-04-15.
request_249,197.85,affordable_later,wait,none,2026-02-15,none,"Wait until 2026-02-15, when the full USD 643.20 is forecast safe without reducing protected spending."
request_250,17762.28,not_affordable,not_recommended,none,,none,The full ZAR 124278 cannot be completed safely within the deadline while maintaining ZAR 35300.
request_251,1513.60,not_affordable,not_recommended,none,2025-05-03,none,The full EUR 1513.60 cannot be completed safely within the deadline while maintaining EUR 1300.
request_252,6269654.41,affordable_later,wait,none,2026-08-15,none,"Wait until 2026-08-15, when the full IDR 28082000 is forecast safe without reducing protected spending."
request_253,1959.69,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,Use 3 installments totaling EUR 2953.80; the 90-day forecast maintains the minimum balance.
request_254,824.45,affordable_later,wait,none,2025-09-15,none,"Wait until 2025-09-15, when the full USD 3535.20 is forecast safe without reducing protected spending."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today while maintaining the minimum balance of IDR 9813900.
request_256,0,not_affordable,not_recommended,none,,none,The full INR 218700 cannot be completed safely within the deadline while maintaining INR 168600.
request_257,512.48,affordable_later,wait,none,2025-12-15,none,"Wait until 2025-12-15, when the full USD 1352.40 is forecast safe without reducing protected spending."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today while maintaining the minimum balance of USD 500.
request_259,253.91,affordable_later,wait,none,2024-10-15,none,"Wait until 2024-10-15, when the full EUR 935 is forecast safe without reducing protected spending."
request_260,8790812.82,not_affordable,not_recommended,none,,none,The full IDR 52079000 cannot be completed safely within the deadline while maintaining IDR 20727700.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today while maintaining the minimum balance of EUR 1500.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today while maintaining the minimum balance of IDR 31018500.
request_263,10122.56,not_affordable,not_recommended,none,,none,The full ZAR 51546 cannot be completed safely within the deadline while maintaining ZAR 24100.
request_264,31637.49,affordable_later,wait,none,2026-05-15,none,"Wait until 2026-05-15, when the full INR 111300 is forecast safe without reducing protected spending."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today while maintaining the minimum balance of INR 189700.
request_266,799.66,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Use 3 installments totaling EUR 972.39; the 90-day forecast maintains the minimum balance.
request_267,1804.13,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,Use 3 installments totaling EUR 2001.99; the 90-day forecast maintains the minimum balance.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use 3 installments totaling EUR 2523.66; the 90-day forecast maintains the minimum balance.
request_269,0,not_affordable,not_recommended,none,,none,The full ZAR 15490 cannot be completed safely within the deadline while maintaining ZAR 23100.
request_270,245.92,not_affordable,not_recommended,none,2026-09-15,none,The full USD 3028.80 cannot be completed safely within the deadline while maintaining USD 1400.
request_271,26651.93,affordable_later,wait,none,2024-10-15,none,"Wait until 2024-10-15, when the full INR 91300 is forecast safe without reducing protected spending."
request_272,6102616.21,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,Use 3 installments totaling IDR 14128400.01; the 90-day forecast maintains the minimum balance.
request_273,10764260.96,affordable_with_plan,partial_payment,2026-04-07:10764260.96|2026-04-15:5096739.04,2026-04-15,none,Pay IDR 10764260.96 today and the remaining IDR 5096739.04 on 2026-04-15.
request_274,2456.82,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Use 3 installments totaling EUR 2822.25; the 90-day forecast maintains the minimum balance.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today while maintaining the minimum balance of IDR 12760100.
